Judul,Perusahaan,Lokasi,Jurusan
Corporate Communication Intern,PT United Tractors Tbk,"Jl. Raya Bekasi KM 22 Cakung, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Ilmu Komunikasi, Manajemen Pemasaran/Marketing, Hubungan Masyarakat, Hubungan Masyarakat dan Komunikasi Digital"
Operation,Akar Inti Teknologi,"MENARA BCA LANTAI 36, JALAN MH. THAMRIN NOMOR 1, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Teknik Informatika, Sistem Informasi, Manajemen Administrasi Perkantoran, Administrasi Bisnis, Manajemen"
Cashier,Matahari Department Store,"Cilandak Town Square, Jl.TB Simatupang Kav.17, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Administrasi, Akuntansi, Manajemen, Administrasi BIsnis, Matematika"
Cashier,Matahari Department Store,"Mall Artha Gading, Jl. Artha Gading Sel. No.1, Jakarta, KOTA ADM. JAKARTA UTARA, DKI JAKARTA","Bisnis Manajemen Retail, Manajemen Retail"
People Management Intern,PT United Tractors Tbk,"Jl. Raya Bekasi KM 22 Cakung, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Teknik Industri, Manajemen, Statistika, Sistem Informasi, Teknik Informatika"
People Development Intern,PT United Tractors Tbk,"Jl. Raya Bekasi KM 22 Cakung, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Teknik Industri, Manajemen, Manajemen Sumber Daya Manusia, Psikologi, Statistika"
Social Media (Community),Kreasi Karya Bangsa,"Gedung Achilles, Lantai 3, Jalan Panjang nomor 29, Desa/Kelurahan Kedoya Selatan, Kec. Kebon
 Jeruk, Kota Adm. Jakarta Barat, Provinsi DKI Jakarta, Kode Pos: 11520, KOTA ADM. JAKARTA BARAT, DKI JAKARTA","Ilmu Komunikasi, Manajemen, Manajemen & Produksi Film Video & TV, Desain Komunikasi Visual"
Creative / Production Assistant,Surya Citra Televisi,"Gedung SCTV Tower Senayan City Jalan Asia Afrika Lot 19, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Manajemen Produksi Media, Manajemen Produksi Siaran, Teknologi Multimedia Broadcasting, Produksi Film dan Televisi, Produksi Media"
Future Tech & Investment Analysis Intern,Vortech Corp Indonesia,"Jalan Desa Putra Nomor 9D, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Ekonomi, Manajemen, Teknik Industri, Teknik Lingkungan, Teknik Informatika"
Heavy Equipment Sales Engineer Intern,PT United Tractors Tbk,"Jl. Raya Bekasi KM 22 Cakung, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Teknik Industri, Teknik Mesin, Teknik Elektro, Teknik Material dan Metalurgi, Manajemen"
F&B Product,PT. Kreasi Cipta Utama - Novotel Jakarta Mangga Dua Square,"Jl. Gn. Sahari Raya No. 1, KOTA ADM. JAKARTA UTARA, DKI JAKARTA",Perhotelan
SQA,PT. Enigma Cipta Humanika,"Gran Rubina Business Park - Generali Tower Lt. 20 Jl. HR Rasuna Said Jakarta 12940, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Sistem Informasi, Teknik Informatika, Rekayasa Perangkat Lunak, Teknik Perangkat Lunak, Manajemen Informatika"
Asisten Kearsipan,Direktorat Pengendalian Penggunaan Tenaga Kerja Asing,"Jl. Gatot Subroto No. Kav. 51, Kuningan Timur, Kec. Setiabudi, Kota Jakarta Selatan, DKI Jakarta, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Pendidikan Teknik Informatika, Kearsipan, Administrasi Negara, Manajemen, Informatika"
Tenaga Administrasi Biro HOKS,Badan Nasional Penanggulangan Bencana,"Jl. Pramuka Kav. 38 Matraman
Utan Kayu Utara, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Ilmu Hukum
Kesehatan dan Keselamatan Kerja,Rsupn Dr. Cipto Mangunkusumo,"Jl. Diponegoro No. 71, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",Kesehatan dan Keselamatan Kerja
Creative Design Intern,PT United Tractors Tbk,"Jl. Raya Bekasi KM 22 Cakung, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Desain Komunikasi Visual, Ilmu Komunikasi, Desain Grafis, Produksi Media, Multimedia"
Pengelola Kehumasan,KANIM KELAS I TPI JAKARTA TIMUR,"Jl. Bekasi Tim. Raya No.169, Cipinang Besar Utara, Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13410, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Ilmu Komunikasi, Desain Komunikasi Visual, Hubungan Masyarakat"
Finance & Accounting Intern,PT United Tractors Tbk,"Jl. Raya Bekasi KM 22 Cakung, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Akuntansi, Manajemen, Manajemen Keuangan, Ekonomi, Akuntansi Sektor Publik"
Pranata Hubungan Masyarakat,Badan Pengawas Tenaga Nuklir Nasional,"Jalan Gajah Mada No 8 Jakarta Pusat, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Desain Komunikasi Visual, Teknologi Pendidikan, Pendidikan Multimedia, Produksi Media, Teknik Multimedia Digital"
Analis Kajian Fasilitas Radiasi,Badan Pengawas Tenaga Nuklir Nasional,"Jalan Gajah Mada No 8 Jakarta Pusat, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Teknokimia Nuklir, Teknik Nuklir, Teknik Fisika, Teknik Radiodiagnostik dan Radioterapi, Teknik Radiologi"
Videographer,Bama Berita Sarana Televisi,"GEDUNG RATU PRABU 1, JALAN LETNAN JENDERAL TAHI BONAR SIMATUPANG KAVLING 20, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknologi Multimedia dan Broadcasting, Penyiaran, Penyiaran Multimedia, Penyiaran Radio dan Televisi, Ilmu Komunikasi"
PSIKIATER,LEMBAGA PEMASYARAKATAN KELAS IIA SALEMBA,"JL. PERCETAKAN NEGARA NO.88A JAKPUS 10570, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",Kedokteran
DOKTER,LEMBAGA PEMASYARAKATAN KELAS IIA SALEMBA,"JL. PERCETAKAN NEGARA NO.88A JAKPUS 10570, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",Kedokteran
Pembantu Pembimbing Kemasyarakatan,BALAI PEMASYARAKATAN KELAS I JAKARTA TIMUR/UTARA,"Jl. Pembina I Nomor 2 Cipinang Muara, Jakarta Timur, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Sosiologi
Sosiolog,LEMBAGA PEMASYARAKATAN KELAS IIA SALEMBA,"JL. PERCETAKAN NEGARA NO.88A JAKPUS 10570, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",Sosiologi
Asisten Pengelola Pertanian,Direktorat Pelindungan Tanaman Pangan,"Jl. AUP NO.3 PASARMINGGU JAKARTA SELATAN 12520, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Proteksi Tanaman, Biologi, Agroteknologi"
Healthy & Safety Intern,PT United Tractors Tbk,"Jl. Raya Bekasi KM 22 Cakung, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Teknik Lingkungan, Teknik Industri, Kesehatan Masyarakat, Keselamatan dan Kesehatan Kerja, Teknik dan Manajemen Lingkungan"
Customer Service Center Intern (CSCI),PT Asuransi Jiwa Ifg,"Graha CIMB Niaga Lt. 5 & 6 Jl Jendral Sudirman Kav 58, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",Administrasi
Operation Management Intern,PT United Tractors Tbk,"Jl. Raya Bekasi KM 22 Cakung, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Teknik Industri, Teknik Mesin, Teknik Alat Berat, Teknik Elektro, Teknik Elektro Industri"
Magang,BIRO HUKUM DAN KERJA SAMA,"Jalan H.R. Rasuna Said Kav.6 No.8, Kuningan, Jakarta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Hukum, Hubungan Internasional, Sastra Inggris, Ilmu Hukum"
Staff Accounting,Selamat Jaya Persada,"treasury Tower Lt 9 Lot 28 Jl Jendral sudirman  kav 52-53 kebayoran baru jakarta selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Akuntansi, Akuntansi Keuangan, Akuntansi Keuangan Perusahaan, Akuntansi Manajemen, Akuntansi Perpajakan"
Perawat,LEMBAGA PEMASYARAKATAN KELAS IIA SALEMBA,"JL. PERCETAKAN NEGARA NO.88A JAKPUS 10570, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",Keperawatan
Digital Purchase Intern,PT Autopedia Sukses Lestari Tbk,"Kuningan City Lantai UG56
Jl. Prof DR. Satrio No. Kav 18
Jakarta Selatan 12940, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Manajemen Pemasaran/Marketing, Pemasaran Digital, Komunikasi Digital dan Media"
Multimedia & Communication Intern,PT United Tractors Tbk,"Jl. Raya Bekasi KM 22 Cakung, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Desain Komunikasi Visual, Ilmu Komunikasi, Desain Grafis, Produksi Media, Multimedia"
PSIKIATER,LEMBAGA PEMASYARAKATAN KELAS IIA SALEMBA,"JL. PERCETAKAN NEGARA NO.88A JAKPUS 10570, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",Kedokteran
Asisten Auditor Manajemen Aparatur Sipil Negara,Kantor Regional V BKN Jakarta,"Jl. Raya Ciracas No.36 Ciracas Jakarta Timur, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Administrasi Negara, Manajemen, Hukum, Studi Kebijakan Publik"
Electrical Engineer,Sinohydro Corporation Limited,"GEDUNG MENARA PRIMA LANTAI 17
JL. DR. IDE ANAK AGUNG GDE AGUNG
BLOK 6.2 JAKARTA SELATAN, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Elektro, Rekayasa Elektro"
Jr. Mekanik Alat Berat,Selamat Jaya Persada,"treasury Tower Lt 9 Lot 28 Jl Jendral sudirman  kav 52-53 kebayoran baru jakarta selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Mesin Alat Berat, Teknik Mesin, Pemeliharaan Mesin Otomotif"
Pembantu Pembimbing Kemasyarakatan,BALAI PEMASYARAKATAN KELAS I JAKARTA TIMUR/UTARA,"Jl. Pembina I Nomor 2 Cipinang Muara, Jakarta Timur, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Bisnis Manajemen Retail
Staff Accounting,Selamat Jaya Persada,"treasury Tower Lt 9 Lot 28 Jl Jendral sudirman  kav 52-53 kebayoran baru jakarta selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Akuntansi, Akuntansi Keuangan, Akuntansi Keuangan Perusahaan, Akuntansi Manajemen, Akuntansi Perpajakan"
Customer Service Center Intern (CSCI),PT Asuransi Jiwa Ifg,"Graha CIMB Niaga Lt. 5 & 6 Jl Jendral Sudirman Kav 58, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",Administrasi
People Management Intern,Traktor Nusantara,"JL. PULOGADUNG  RAYA NO.32 Kawasan Industri Pulogadung, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Psikologi, Teknik Industri, Manajemen, Manajemen Sumber Daya Manusia, Statistik"
Main Plan Engginer,Selamat Jaya Persada,"treasury Tower Lt 9 Lot 28 Jl Jendral sudirman  kav 52-53 kebayoran baru jakarta selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Pertambangan, Teknik Pertambangan Batubara, Teknologi Pertambangan, TEKNIK GEOLOGI"
IT Staff,Selamat Jaya Persada,"treasury Tower Lt 9 Lot 28 Jl Jendral sudirman  kav 52-53 kebayoran baru jakarta selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Informatika, Rekayasa Sistem Komputer, Administrasi Jaringan Komputer, Keamanan Sistem Informasi, Pendidikan Sistem dan Teknologi Informasi"
Surveyor,Selamat Jaya Persada,"treasury Tower Lt 9 Lot 28 Jl Jendral sudirman  kav 52-53 kebayoran baru jakarta selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Pertambangan Batubara, Teknik Pertambangan, Teknologi Pertambangan, TEKNIK GEOLOGI"
Sales in House Developer Property Perumahan Komersial 2 Lantai,Sinergi Surya Muda,"JL. CIPINANG BALI IV BLOK C NO. 14, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Manajemen Pemasaran
Finance & Accounting Intern,PT United Tractors Tbk,"Jl. Raya Bekasi KM 22 Cakung, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Akuntansi, Manajemen, Manajemen Keuangan, Ekonomi, Akuntansi Sektor Publik"
Perawat,LEMBAGA PEMASYARAKATAN KELAS IIA SALEMBA,"JL. PERCETAKAN NEGARA NO.88A JAKPUS 10570, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",Keperawatan
Marketing & Communication Intern,Traktor Nusantara,"JL. PULOGADUNG  RAYA NO.32 Kawasan Industri Pulogadung, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Manajemen Pemasaran/Marketing, Ilmu Komunikasi, Psikologi, Manajemen, Desain Komunikasi Visual"
Pengelola Kehumasan,KANIM KELAS I NON TPI JAKARTA PUSAT,"Jalan Merpati Blok B12 No. 3 Kemayoran, Jakarta Pusat 
Telepon : (021) 6541213 – Faksimili : (021) 6541210
Laman : https://jakartapusat.imigrasi.go.id, Pos-el : kanim_jakpus@imigrasi.go.id, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Ilmu Komunikasi, Desain Komunikasi Visual, Hubungan Masyarakat"
Healthy & Safety Intern,PT United Tractors Tbk,"Jl. Raya Bekasi KM 22 Cakung, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Teknik Lingkungan, Teknik Industri, Kesehatan Masyarakat, Keselamatan dan Kesehatan Kerja, Teknik dan Manajemen Lingkungan"
Multimedia & Communication Intern,PT United Tractors Tbk,"Jl. Raya Bekasi KM 22 Cakung, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Desain Komunikasi Visual, Ilmu Komunikasi, Desain Grafis, Produksi Media, Multimedia"
Psikolog,LEMBAGA PEMASYARAKATAN NARKOTIKA KELAS IIA JAKARTA,"JL. H. Darip No.170A, Jakarta Timur, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Psikologi
Transit Oriented Development Intern,Mass Rapid Transit Jakarta Perseroda,"WISMA NUSANTARA LT.21, JL. MH. THAMRIN NO. 59, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Desain Kawasan Binaan, Perencanaan Tata Ruang Wilayah dan Kota, Arsitektur, Teknik Sipil, Manajemen Ekonomi"
PSIKIATER,LEMBAGA PEMASYARAKATAN KELAS IIA SALEMBA,"JL. PERCETAKAN NEGARA NO.88A JAKPUS 10570, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",Kedokteran
Engineer Intern,China Comservice Indonesia,"JL. JEND SUDIRMAN KAV 1 WISMA 46 KOTA BNI LT.11 SUITE 1111 - 1112, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",Telekomunikasi
IT Staff,Selamat Jaya Persada,"treasury Tower Lt 9 Lot 28 Jl Jendral sudirman  kav 52-53 kebayoran baru jakarta selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Informatika, Rekayasa Sistem Komputer, Administrasi Jaringan Komputer, Keamanan Sistem Informasi, Pendidikan Sistem dan Teknologi Informasi"
Main Plan Engginer,Selamat Jaya Persada,"treasury Tower Lt 9 Lot 28 Jl Jendral sudirman  kav 52-53 kebayoran baru jakarta selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Pertambangan, Teknik Pertambangan Batubara, Teknologi Pertambangan, TEKNIK GEOLOGI"
Surveyor,Selamat Jaya Persada,"treasury Tower Lt 9 Lot 28 Jl Jendral sudirman  kav 52-53 kebayoran baru jakarta selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Pertambangan Batubara, Teknik Pertambangan, Teknologi Pertambangan, TEKNIK GEOLOGI"
Pembantu Pembimbing Kemasyarakatan,BALAI PEMASYARAKATAN KELAS I JAKARTA TIMUR/UTARA,"Jl. Pembina I Nomor 2 Cipinang Muara, Jakarta Timur, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Ilmu Kesejahteraan Sosial
Marketing Brand Internship,PT. Uni-Charm Indonesia Tbk,"SINARMAS PLAZA SUDIRMAN TOWER LANTAI 42, JL. JENDERAL SUDIRMAN KAVLING 21, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Manajemen Pemasaran/Marketing, Administrasi BIsnis, Administrasi Bisnis Internasional, Ilmu Komunikasi, Hubungan Masyarakat dan Komunikasi Digital"
Operational Support,Perusahaan Perseroan (Persero) PT. Asuransi Kredit Indonesia,"Graha Askrindo Jl. Angkasa Blok B-9 Kav. 8, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Statistika, Akuntansi, Manajemen, Aktuaria, Administrasi Bisnis"
Transit Oriented Development Intern,Mass Rapid Transit Jakarta Perseroda,"WISMA NUSANTARA LT.21, JL. MH. THAMRIN NO. 59, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Desain Kawasan Binaan, Perencanaan Tata Ruang Wilayah dan Kota, Arsitektur, Teknik Sipil, Manajemen Ekonomi"
People Management Intern,Traktor Nusantara,"JL. PULOGADUNG  RAYA NO.32 Kawasan Industri Pulogadung, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Psikologi, Teknik Industri, Manajemen, Manajemen Sumber Daya Manusia, Statistik"
Pengelola Kehumasan,KANIM KELAS I KHUSUS NON TPI JAKARTA BARAT,"Jl. Pos Kota No. 4, Pinangsia, Tamansari, KOTA ADM. JAKARTA BARAT, DKI JAKARTA","Ilmu Komunikasi, Desain Komunikasi Visual, Hubungan Masyarakat"
AI Engineer,Nararya Semesta Gemilang,"Equity Tower, 49th Floor, Unit B, C, F Jalan Jenderal Sudirman Kaveling 52-53 SCBD (Sudirman Central Business Distric), KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Informatika, Sistem Informasi"
Electrical Engineer,Sinohydro Corporation Limited,"GEDUNG MENARA PRIMA LANTAI 17
JL. DR. IDE ANAK AGUNG GDE AGUNG
BLOK 6.2 JAKARTA SELATAN, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Elektro, Rekayasa Elektro"
Marketing & Communication Intern,Traktor Nusantara,"JL. PULOGADUNG  RAYA NO.32 Kawasan Industri Pulogadung, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Manajemen Pemasaran/Marketing, Ilmu Komunikasi, Psikologi, Manajemen, Desain Komunikasi Visual"
Analis Kekayaan Intelektual,Direktorat Jenderal Kekayaan Intelektual,"Jl. H. R. Rasuna Said Kav 8-9, Kuningan, Jakarta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Ilmu Hukum, Teknik  Industri, Teknik Elektro, Teknik Informatika, Statistika"
Creative Design Intern,PT United Tractors Tbk,"Jl. Raya Bekasi KM 22 Cakung, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Desain Komunikasi Visual, Ilmu Komunikasi, Desain Grafis, Produksi Media, Multimedia"
Finance & Accounting Intern,PT United Tractors Tbk,"Jl. Raya Bekasi KM 22 Cakung, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Akuntansi, Manajemen, Manajemen Keuangan, Ekonomi, Akuntansi Sektor Publik"
Administration Intern,PT. Halik Selindo Alpha,"Darmawangsa Square No. 9, Jl. Darmawangsa VI, Kelurahan Pulo, Kecamatan Kebayoran Baru, Jakarta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",Administrasi
Smart and Creative Design Staff,Maritim Muda Nusantara,"GEDUNG EIGHTYEIGHT@KASABLANKA TOWER A LT. 10 UNIT E JL. CASABLANCA RAYA KAV 88 RT014/RW005, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Desain Komunikasi Visual, Ilmu Komunikasi, Multimedia, Desain Interior, Arsitektur Interior"
Healthy & Safety Intern,PT United Tractors Tbk,"Jl. Raya Bekasi KM 22 Cakung, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Teknik Lingkungan, Teknik Industri, Kesehatan Masyarakat, Keselamatan dan Kesehatan Kerja, Teknik dan Manajemen Lingkungan"
PENGELOLA BMN,KANTOR WILAYAH DIREKTORAT JENDERAL PEMASYARAKATAN DAERAH KHUSUS JAKARTA,"Jln. MT. Haryono No. 24 Cawang Jakarta Timur, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Manajemen Aset Publik
Website Development and Administrator,Maritim Muda Nusantara,"GEDUNG EIGHTYEIGHT@KASABLANKA TOWER A LT. 10 UNIT E JL. CASABLANCA RAYA KAV 88 RT014/RW005, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Informatika, Informatika, Sistem Informasi, Ilmu Komputer, Sistem Informasi Kelautan"
Transit Oriented Development Intern,Mass Rapid Transit Jakarta Perseroda,"WISMA NUSANTARA LT.21, JL. MH. THAMRIN NO. 59, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Desain Kawasan Binaan, Perencanaan Tata Ruang Wilayah dan Kota, Arsitektur, Teknik Sipil, Manajemen Ekonomi"
Smart and Creative Design Staff,Maritim Muda Nusantara,"GEDUNG EIGHTYEIGHT@KASABLANKA TOWER A LT. 10 UNIT E JL. CASABLANCA RAYA KAV 88 RT014/RW005, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Desain Komunikasi Visual, Ilmu Komunikasi, Multimedia, Desain Interior, Arsitektur Interior"
PENERJEMAH,KANTOR WILAYAH DIREKTORAT JENDERAL PEMASYARAKATAN DAERAH KHUSUS JAKARTA,"Jln. MT. Haryono No. 24 Cawang Jakarta Timur, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Sastra Inggris, Sastra Cina"
Electrical Engineer,Sinohydro Corporation Limited,"GEDUNG MENARA PRIMA LANTAI 17
JL. DR. IDE ANAK AGUNG GDE AGUNG
BLOK 6.2 JAKARTA SELATAN, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Elektro, Rekayasa Elektro"
Engineer Intern,China Comservice Indonesia,"JL. JEND SUDIRMAN KAV 1 WISMA 46 KOTA BNI LT.11 SUITE 1111 - 1112, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",Telekomunikasi
Administration Intern,PT. Halik Selindo Alpha,"Darmawangsa Square No. 9, Jl. Darmawangsa VI, Kelurahan Pulo, Kecamatan Kebayoran Baru, Jakarta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",Administrasi
PENGELOLA KEUANGAN DAN ANGGARAN,KANTOR WILAYAH DIREKTORAT JENDERAL PEMASYARAKATAN DAERAH KHUSUS JAKARTA,"Jln. MT. Haryono No. 24 Cawang Jakarta Timur, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Akuntansi
Pengelola Kehumasan,KANIM KELAS I TPI JAKARTA UTARA,"Jl. Agung Karya V Blok A No. 15 Kelurahan Papanggo, Kecamatan Tanjung Priok, Jakarta Utara, KOTA ADM. JAKARTA UTARA, DKI JAKARTA","Ilmu Komunikasi, Desain Komunikasi Visual, Hubungan Masyarakat"
Finance & Accounting Intern,PT United Tractors Tbk,"Jl. Raya Bekasi KM 22 Cakung, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Akuntansi, Manajemen, Manajemen Keuangan, Ekonomi, Akuntansi Sektor Publik"
Multimedia & Communication Intern,PT United Tractors Tbk,"Jl. Raya Bekasi KM 22 Cakung, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Desain Komunikasi Visual, Ilmu Komunikasi, Desain Grafis, Produksi Media, Multimedia"
Healthy & Safety Intern,PT United Tractors Tbk,"Jl. Raya Bekasi KM 22 Cakung, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Teknik Lingkungan, Teknik Industri, Kesehatan Masyarakat, Keselamatan dan Kesehatan Kerja, Teknik dan Manajemen Lingkungan"
PENGELOLA KEHUMASAN,KANIM KELAS I TPI TANJUNG PRIOK,"Jl. Melati No. 124 A, Rawabadak Utara, Koja, Jakarta Utara, KOTA ADM. JAKARTA UTARA, DKI JAKARTA","Ilmu Komunikasi, Desain Komunikasi Visual"
Analis Kekayaan Intelektual,Direktorat Jenderal Kekayaan Intelektual,"Jl. H. R. Rasuna Said Kav 8-9, Kuningan, Jakarta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Ilmu Hukum, Teknik  Industri, Teknik Elektro, Teknik Informatika, Statistika"
"DHUK - Asisten Manajer DHK2 (PMDK, PVML, PPDP, KSMR)",OJKI,"Wisma Mulia 2, Jl. Jenderal Gatot Subroto No 42, Jakarta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Hukum, Hukum Ekonomi Syari'ah, Hukum Tata Negara, Hukum Tatanegara, Hukum Administrasi Negara"
Creative Design Intern,PT United Tractors Tbk,"Jl. Raya Bekasi KM 22 Cakung, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Desain Komunikasi Visual, Ilmu Komunikasi, Desain Grafis, Produksi Media, Multimedia"
Team Leader Intern,China Comservice Indonesia,"JL. JEND SUDIRMAN KAV 1 WISMA 46 KOTA BNI LT.11 SUITE 1111 - 1112, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",Telekomunikasi
Research & Consumer Insight Intern,PT United Family Food,"PERKANTORAN SUNRISE GARDEN BLOK A3 NO. 1,
Kel. Kedoya Utara, Kec. Kebon Jeruk, Kota Adm. Jakarta
Barat, Prov. DKI Jakarta, KOTA ADM. JAKARTA BARAT, DKI JAKARTA","Manajemen, Manajemen Bisnis, Ilmu Ekonomi, Administrasi Bisnis, Administrasi Niaga"
Jurnalis,Biro Hubungan Masyarakat,"Jalan Jenderal Gatot Subroto Kav. 51, Jakarta Selatan., KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Jurnalistik, Ilmu Komunikasi"
Jurnalis,Biro Hubungan Masyarakat,"Jalan Jenderal Gatot Subroto Kav. 51, Jakarta Selatan., KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Jurnalistik, Ilmu Komunikasi"
People Management Intern,Traktor Nusantara,"JL. PULOGADUNG  RAYA NO.32 Kawasan Industri Pulogadung, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Psikologi, Teknik Industri, Manajemen, Manajemen Sumber Daya Manusia, Statistik"
Analis Kekayaan Intelektual,Direktorat Jenderal Kekayaan Intelektual,"Jl. H. R. Rasuna Said Kav 8-9, Kuningan, Jakarta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Ilmu Hukum, Teknik  Industri, Teknik Elektro, Teknik Informatika, Statistika"
Finance & Accounting Intern,PT United Tractors Tbk,"Jl. Raya Bekasi KM 22 Cakung, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Akuntansi, Manajemen, Manajemen Keuangan, Ekonomi, Akuntansi Sektor Publik"
Marketing & Communication Intern,Traktor Nusantara,"JL. PULOGADUNG  RAYA NO.32 Kawasan Industri Pulogadung, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Manajemen Pemasaran/Marketing, Ilmu Komunikasi, Psikologi, Manajemen, Desain Komunikasi Visual"
Research & Consumer Insight Intern,PT United Family Food,"PERKANTORAN SUNRISE GARDEN BLOK A3 NO. 1,
Kel. Kedoya Utara, Kec. Kebon Jeruk, Kota Adm. Jakarta
Barat, Prov. DKI Jakarta, KOTA ADM. JAKARTA BARAT, DKI JAKARTA","Manajemen, Manajemen Bisnis, Ilmu Ekonomi, Administrasi Bisnis, Administrasi Niaga"
